ID,treemmer
MIT1223,LLIII_Isolate
MIT1307,LLVII_Isolate
MIT1314,HLII_Isolate
MIT1205,LLIV_Isolate
MIT1418,LLIV_Isolate
MIT1300,LLVII_Isolate
MIT1227,LLIV_Isolate
MIT1341,LLVII_Isolate
MIT0912,LLI_Isolate
MIT0913,LLI_Isolate
MIT0915,LLI_Isolate
MIT0917,LLI_Isolate
MIT1013,LLI_Isolate
MIT1214,LLI_Isolate
MIT0918,LLII_Isolate
MIT1304,LLII_Isolate
MIT0919,LLIII_Isolate
UH18301,HLII_Isolate
150NLHA,LLIV_Isolate
150SLHA,LLIV_Isolate
150SLHB,LLIV_Isolate
MIT1303,LLIV_Isolate
MIT1306,LLIV_Isolate
MIT1312,LLIV_Isolate
MIT1318,LLIV_Isolate
MIT1320,LLIV_Isolate
MIT1313,LLIV_Isolate
MIT1323,LLIV_Isolate
MIT1327,LLIV_Isolate
MIT1342,LLIV_Isolate
MED4,HLI_Isolate
MIT9515,HLI_Isolate
EQPAC1,HLI_Isolate
MIT9107,HLII_Isolate
GP2,HLII_Isolate
SB,HLII_Isolate
MIT9302,HLII_Isolate
MIT9312,HLII_Isolate
MIT9201,HLII_Isolate
MIT9202,HLII_Isolate
MIT9215,HLII_Isolate
AS9601,HLII_Isolate
MIT9116,HLII_Isolate
MIT9123,HLII_Isolate
MIT9301,HLII_Isolate
MIT9311,HLII_Isolate
MIT9314,HLII_Isolate
MIT9321,HLII_Isolate
MIT9322,HLII_Isolate
MIT9401,HLII_Isolate
MIT0604,HLII_Isolate
W07,HLIII/HLIV_SAG
W08,HLIII/HLIV_SAG
W04,HLIII/HLIV_SAG
W11,HLIII/HLIV_SAG
W02,HLIII/HLIV_SAG
NATL2A,LLI_Isolate
PAC1,LLI_Isolate
NATL1A,LLI_Isolate
MIT0801,LLI_Isolate
SS120,LLII_Isolate
SS2,LLII_Isolate
SS35,LLII_Isolate
SS51,LLII_Isolate
LG,LLII_Isolate
MIT0602,LLII_Isolate
MIT0603,LLII_Isolate
SS52,LLII_Isolate
MIT9211,LLIII_Isolate
MIT0601,LLIII_Isolate
MIT9303,LLIV_Isolate
MIT9313,LLIV_Isolate
MIT0701,LLIV_Isolate
MIT0702,LLIV_Isolate
MIT0703,LLIV_Isolate
B241_526B17,HLII_SAG
B241_526B19,HLII_SAG
B241_526B22,HLII_SAG
B241_526D20,HLII_SAG
B241_526K3,HLII_SAG
B241_526N9,HLII_SAG
B241_527E14,HLII_SAG
